Game Name,Platform,Region,Game,Manual/Inserts,Artwork/Box,Extras,Notes
Kono Subarashii Sekai Ni Syukufuku Woi,Vita,NTSC-J,A+,N/A,A+,Includes DLC Download code (unused),
Super Heroine Chronicle,Vita,NTSC-J,A+,A+,A+,,
MLB 15 The Show,Vita,NTSC-A,A+,N/A,A+,,
MegaTagmension Neptune + Blanc VS Zombies,Vita,PAL-EU,A+,N/A,A+,,
Senran Kagura Shinovi Versus,Vita,NTSC-UC,A+,N/A,A+,,
YS VIII Lacrimosa of Dana,Vita,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
ONE PIECE Unlimited World Red,Vita,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
LEGO Batman 2 DC Super Heroes,Vita,PAL-EU,A+,A+,A+,,
PlayStation Vita Peta,Vita,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Everybody's Golf,Vita,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Rayman Origins,Vita,NTSC-A,A+,N/A,A+,,Case has OLFC Stickers
LEGO Batman 3 Beyond Gotham,Vita,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Gal*Gun Double Peace,Vita,PAL-EU,A+,N/A,A+,,Case has OLFC Stickers
Hyperdimension Neptunia Re;Birth1,Vita,NTSC-UC,A+,N/A,A+,,
Soul Sacrifice,Vita,NTSC-UC,A+,N/A,A+,,
Airship Q,Vita,NTSC-J,A+,A+,A+,,
Hotline Miami Collected Edition,Vita,NTSC-J,A+,A+,A+,Includes Hotline Miami 2 Download Code (NTSC-J only),
Photo Kano Kiss,Vita,NTSC-J,A+,A+,A+,,
New Game! The Challenge Stage,Vita,NTSC-J,A+,A+,A+,Includes DLC Download code (unchecked),
Minecraft: PlayStation Vita Edition,Vita,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Uncharted: Golden Abyss,Vita,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Hyperdevotion Noire Goddess Black heart,Vita,NTSC-UC,A+,N/A,A+,,
Hyperdimension Neptunia Producing Perfection,Vita,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
LEGO Marvel Super Heroes Universe in Peril,Vita,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Arcana Heart 3 LOVE MAX!!!!!,Vita,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Axiom Verge,Vita,NTSC-UC,A+,N/A,A+,Artbook,
Disgaea 4: A Promise Revisited,Vita,PAL-EU,A+,N/A,B+,,"Cartridge is PAL-EU, Box is PAL-AU"
Rayman Legends,Vita,PAL-EU,A+,A+,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Disgaea 3: Absence of Detention,Vita,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
God of War Collection,Vita,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Tetris,GB,PAL-AU,B+,M,M,,
David Cranes the Rescue of Princess Blobette,GB,PAL-AU,B+,M,M,,
Kings of the Zoo,GB,PAL-AU,B+,M,M,,
Blue's Clue's Blue's Alphabet Book,GBC,NTSC-UC,A,M,M,,
Pokemon Prism Version,GBC,NTSC-UC,K,N/A,N/A,,
Super Mario Land,GB,PAL-AU,B+,M,M,,
Home Alone,GB,NTSC-UC,B+,M,M,,"Game Cartridge is labelled ""USA-1"" for some reason"
Alleyway,GB,NTSC-J,A-,M,M,,Game Cartridge has no region?
Ghostbusters II,GB,PAL-AU,B,M,M,,
Attack of the Killer Tomatoes,GB,NTSC-UC,B,M,M,,
Pokemon Red Version,GB,NTSC-A,K,M,M,,
Pokemon Yellow Version,GB,NTSC-UC,K,M,M,,
Donkey Kong Land 2,GB,PAL-AU,A,M,M,,
Pokemon Red Version,GB,NTSC-J,A+,M,M,,
Mystical Ninja Starring Goemon,GB,NTSC-J,A+,M,M,,
Dino Rider 2,GB,NTSC-J,A+,M,M,,
Bitamina Oukoku Monogatari,GB,NTSC-J,A+,M,M,,
The Lion King,GBA,PAL-EU,A,M,M,,
Spider-Man 2,GBA,PAL-EU,A+,M,M,,
Rugrats Castle Capers,GBA,PAL-EU,A+,M,M,,
Dogz,GBA,PAL-EU,A+,M,M,,
The Incredibles,GBA,PAL-EU,A+,M,M,,
Tak the Great Juju Challenge,GBA,PAL-AU,A+,M,M,,
Catz,GBA,PAL-EU,A+,M,M,,
Spider-Man Friend or Foe,PSP,PAL-AU,A,N/A,N/A,Pre-Production release,
PES 2008 Pro Evolution Soccer 2008,PSP,PAL-AU,A,N/A,N/A,Pre-Production release,
Wall-E,PSP,PAL-AU,A,N/A,N/A,Pre-Production release,
Gurumin: A Monstrous Adventure,PSP,PAL-AU,A,N/A,N/A,Pre-Production release,
Star Fox 64 3D,3DS,PAL-AU,A+,M,M,,
Inazuma Eleven Go Light,3DS,PAL-AU,A+,M,M,,
Tomodachi Life,3DS,PAL-AU,A+,M,M,,
Hey! Pikmin,3DS,PAL-AU,A+,M,M,,
Kwirk,GB,PAL-AU,A+,M,M,,
Pokemon Trading Card Game,GB,PAL-EU,A,M,M,,
Gameboy Video Pokemon A Hot Water Battle / For Ho-Oh The bells Toll!,GBA,PAL-AU,A+,M,M,,
Sonic Advance 3,GBA,PAL-AU,A+,M,M,,
Golden Sun,GBA,NTSC-UC,A+,M,M,,
Mother 1+2,GBA,PAL-EU,K,N/A,N/A,,
LEGO Island 2 The Brickster's Revenge,GBA,PAL-AU,A+,M,M,,
The Simpsons Road Rage,GBA,PAL-AU,A+,M,M,,
Bionicle,GBA,NTSC-UC,A+,M,M,,
Mario Pinball Land,GBA,PAL-AU,A+,M,M,,
kurukuru kurin,GBA,PAL-AU,B-,M,M,,
Mario & Luigi Superstar Saga,GBA,PAL-AU,A+,M,M,,
Yu-Gi-Oh! Double Pack,GBA,PAL-EU,A+,M,M,,
Dynasty Warriors Advance,GBA,PAL-AU,A+,M,M,,
"Monsters, Inc.",GBA,PAL-EU,A+,A,C+,,
Mario Kart Super Circuit,GBA,PAL-AU,A+,M,A,,
Spongebob Squarepants Revenge of the Flying Dutchman,GBA,NTSC-UC,A+,A+,A,,Box has AU Rating System Stickers on it
Pokemon Gold Version,GBC,PAL-AU,A+,A+,A+,,
Pokemon Gold Version,GBC,PAL-AU,A+,M,M,,
Pokemon Silver Version,GBC,NTSC-UC,A+,A,A,,
Pokemon Leaf Green Version,GBA,PAL-AU,A-,A+,A+,Includes Gameboy Advance Wireless Adapter,
Pokemon Sapphire Version,GBA,PAL-AU,A+,A+,A-,,
Pokemon Sapphire Version,GBA,PAL-AU,A-,M,M,,
Pokemon Emerald Version,GBA,PAL-AU,A+,A+,B+,,
Pokemon Emerald Version,GBA,PAL-AU,C+,M,M,,
Pokemon Ruby Version,GBA,PAL-AU,A+,M,M,,
Pokemon Fire Red Version,GBA,PAL-AU,A+,M,M,,
Pokemon Red Version,GB,PAL-AU,A+,M,M,,
Pokemon Blue Version,GB,PAL-AU,A+,M,M,,
Pokemon Yellow Version,GB,PAL-AU,A,M,M,,
Pokemon Crystal Version,GBC,PAL-AU,A,M,M,,
Sam & Max Season One,Wii,PAL-EU,B,A+,A,,Artwork has an OLFC Sticker on it
Wario Ware Smooth Moves,Wii,PAL-AU,A,A+,A+,,
Super Smash Bros. Brawl,Wii,PAL-EU,A+,A+,A+,,
Super Paper Mario,Wii,PAL-AU,A+,A+,A+,,
New Super Mario Bros. Wii,Wii,NTSC-UC,D,A+,A,,
Super Mario Galaxy 2,Wii,PAL-AU,B,B,A-,,Ex-Rental and Laminated
Super Mario Galaxy,Wii,PAL-AU,D,M,A,,
Sonic and the Secret Rings,Wii,PAL-AU,A-,A+,A-,,
Resident Evil 4 Wii Edition,Wii,PAL-EU,A,A+,A+,,
Pokemon Battle Revolution,Wii,PAL-AU,A,A+,A+,,
Pikmin 2,Wii,PAL-AU,B,M,A,,
Pikmin,Wii,PAL-AU,A+,A+,A+,,
Metroid Prime 3 Corruption,Wii,PAL-AU,A,A,A,,
Mario Sports Mix,Wii,PAL-AU,B+,M,A+,,
Mario Power Tennis,Wii,PAL-AU,A,A+,A-,,
Mario Strikers Charged Football,Wii,PAL-AU,A,A,A,,
Mario Party 9,Wii,PAL-AU,A+,A-,A+,,
Link's Crossbow Training,Wii,PAL-EU,B+,A,A,,
The Legend of Zelda Skyward Sword,Wii,PAL-AU,A+,A+,A+,Includes Zelda Symphony OST,
Kirby's Epic Yarn,Wii,NTSC-UC,A+,A+,A+,,
Final Fantasy Crystal Chronicles The Crystal Bearers,Wii,PAL-AU,A+,A+,A-,,
Disney Epic Mickey,Wii,PAL-AU,A,M,A+,,
Donkey Kong Jungle Beat,Wii,PAL-AU,A+,A+,A+,,
Animal Crossing amiibo Festival,Wii U,PAL-AU,A+,A+,A+,Includes 3 amiibo Cards,
Disney Epic Mickey 2 Thge Power of Two,Wii U,PAL-EU,A+,A+,A+,,Case has OLFC Stickers
Kirby and the Rainbow Paintbrush,Wii U,PAL-AU,A+,N/A,A+,,
The Legend of Zelda Wind Waker HD,Wii U,PAL-AU,A+,N/A,A+,,
The Legend of Zelda Twilight Princess HD,Wii U,PAL-AU,A+,N/A,A+,,
The Legend of Zelda Breath of the Wild,Wii U,PAL-AU,A+,N/A,A+,,
Mario Party 10,Wii U,PAL-AU,A+,N/A,B+,,
Mario Tennis Ultra Smash,Wii U,PAL-AU,A+,N/A,A,,
Nintendo Land,Wii U,PAL-AU,A+,A+,A+,,
Pikmin 3,Wii U,PAL-AU,A+,A+,A+,,
Star Fox Zero,Wii U,PAL-AU,A+,N/A,A+,,
Super Mario 3D World,Wii U,PAL-AU,A+,A+,A+,,
Super Smash Bros. For Wii U,Wii U,PAL-AU,A+,A+,A+,,
Yoshi's Wooly World,Wii U,PAL-AU,A+,N/A,A+,,
Metroid Prime Trilogy,Wii,PAL-EU,A+,A+,A+,,"Disc is PAL-EU, Case is PAL-AU"
Wario Ware Touched!,DS,NTSC-UC,A+,A+,A+,,
Mario & Sonic at the Olympic Games,Wii,PAL-AU,B,A-,B+,,
Mario & Sonic at the Olympic Games,Wii,PAL-AU,A+,A+,A+,,
Star Wars Battlefront II,XBOX,PAL-AU,A,M,A-,,
F-ZERO GX,GC,NTSC-UC,A-,A+,A+,,
Harvest Moon A Wonderful Life,GC,NTSC-UC,A+,A+,A+,,Player's Choice Version
Harvest Moon Magical Melody,GC,NTSC-UC,B+,M,A+,,
Kelly Slater's Pro Surfer,GC,PAL-AU,B+,A,A+,,
Kirby Air Ride,GC,NTSC-UC,A,A,A,,
LEGO Star Wars The Video Game,GC,NTSC-UC,A+,A-,B-,,
The Legend of Zelda Collector's Edition,GC,NTSC-UC,A+,A+,A+,,Not for resale Version
The Legend of Zelda Ocarina of Time,GC,NTSC-UC,A+,A+,A+,"Two-Game Bonus Disc, Includes Master Quest",
The Legend of Zelda Four Swords Adventures,GC,NTSC-UC,A+,A+,A+,,
The Legend of Zelda Wind Waker,GC,NTSC-UC,A+,A+,A+,,
The Legend of Zelda Wind Waker,GC,PAL-EU,A+,A+,A+,"Limited Edition, Includes Ocarina of Time & Master Quest Disc",
The Legend of Zelda Twilight Princess,GC,NTSC-UC,A+,A+,A+,,
The Legend of Zelda Twilight Princess,GC,PAL-EU,A-,A+,A+,,Dutch Version
Mario Kart Double Dash!!,GC,NTSC-UC,B,A-,B-,,
Metroid Prime,GC,NTSC-UC,A+,A,A+,,
Namco Museum,GC,NTSC-UC,A+,A+,A-,,
Paper Mario The Thousand-Year Door,GC,NTSC-UC,A+,A+,A+,,
Pokemon Channel,GC,PAL-AU,A+,A+,A+,Has “Jirachi” Sticker on box (faded),Missing e-Reader Cards
Pokemon Colosseum,GC,PAL-AU,A-,A+,A+,,Missing 59 Memory Card
Pokemon Colosseum,GC,PAL-EU,A-,A-,B-,,Missing 59 Memory Card
Resident Evil 4,GC,NTSC-UC,A+,A+,A+,Includes both discs,
Sonic Adventure DX Director's Cut,GC,NTSC-UC,A+,M,A,,
Sonic Mega Collection,GC,NTSC-UC,A+,A+,A,,
Spongebob Squarepants Revenge of the Flying Dutchman,GC,NTSC-UC,A+,A,A,,
Super Smash Bros. Melee,GC,PAL-AU,B,A-,B+,,
Super Mario Sunshine,GC,PAL-EU,A,A+,B-,,Artwork has a tear on the spine
Pokemon XD: Gale of Darkness,GC,PAL-EU,A+,A+,A+,,
Phantasy Star Episode I & II,GC,NTSC-J,A+,A+,A+,Includes Gamecube Modem Adapter (A+) and box (A-),
Super Smash Bros. Melee,GC,NTSC-J,A-,A+,A-,,
Gameboy Player,GC,NTSC-J,A-,A+,A+,,
Pokemon Colosseum,GC,NTSC-J,A+,A+,B+,,
DISSIDIA Final Fantasy NT,PS4,PAL-AU,A+,N/A,M,"Steelbook edition, missing outer sleeve",
Uncharted 4: A Thief's End,PS4,PAL-AU,A+,N/A,A+,"Steelbook Edition, missing art book(?) includes stickers and DLC code (unchecked)",
Gravity Rush Remastered,PS4,PAL-AU,A+,A+,A-,,Minor damage to case but artwork is fine
Final Fantasy XV,PS4,PAL-AU,B+,A+,A-,,"Minor damage to case, art slightly damaged, disc has scratching on one side"
Elder Scrolls V: Skyrim VR,PS4VR,PAL-AU,A+,A+,A+,,
Super Stardust Ultra VR,PS4VR,PAL-AU,A+,A+,A+,,
Watch_Dogs,PS4,PAL-AU,A,A+,A+,"ANZ Special Edition, Includes Season Pass and DLC code (untested)",
God of War,PS4,PAL-AU,A+,A+,A+,,
HELLDIVERS: Super-Earth Ultimate Edition,PS4,PAL-AU,A+,A+,A+,Includes PS3/Vita Digital Version code (untested),
KILLZONE Shadow Fall,PS4,PAL-AU,A+,A+,A+,Includes Season Pass,"Case needs replacing, artwork is fine"
Fallout 4,PS4,PAL-AU,A+,A+,A+,,Disc needs cleaning (but is unscratched)
Battlefield 1,PS4,PAL-AU,A+,N/A,A+,,"Case needs replacing, artwork is fine"
Red Faction Guerrilla Remarsterred,PS4,PAL-EU,A+,N/A,A+,,"Not a spelling mistake, stupid name"
Kingdom Hearts HD 1.5 + 2.5 ReMIX,PS4,PAL-EU,A+,A+,A+,,
Ni no Kuni II: Revenant Kingdom,PS4,PAL-AU,A+,A+,A+,Includes some art cards,
Uncharted The Nathan Drake Collection,PS4,PAL-AU,S,S,S,,Playstation Hits Version
PlayStation VR Worlds,PS4VR,PAL-AU,A+,A+,A+,,
3D Dot Game Heroes,PS3,NTSC-UC,A+,M,A+,,"Case needs cleaning, has OLFC stickers on case"
Battlefield Bad Company 2,PS3,PAL-AU,A-,A+,A,,"Disc is Platinum edition, case is regular edition, case needs cleaning or replacing"
Battlefield 3,PS3,PAL-AU,B+,M,A-,Includes DLC Download code (unchecked),
Call of Duty 4 Modern Warfare,PS3,PAL-AU,A+,A+,A+,,
Call of Duty Modern Warfare 2,PS3,PAL-AU,A+,A+,A+,,
Call of Duty Black Ops,PS3,PAL-AU,A,A+,B+,,Disc needs cleaning (but is unscratched)
Final Fantasy XIII,PS3,PAL-AU,A+,A+,A+,,
Need for Speed Hot Pursuit,PS3,PAL-AU,A,M,M,,"Platinum Version, Currently within Gran Turismo 5 Case"
Gran Turismo 5,PS3,PAL-AU,M,B,B-,,"Missing game, has NFS Hot Pursit in it"
InFamous 2,PS3,PAL-AU,A,A+,A-,Includes DLC Code,Replace the case
Katamari Forever,PS3,NTSC-UC,A+,A+,A+,,Case has OLFC Stickers
Medal of Honor,PS3,PAL-AU,A+,A+,A,,
[PROTOTYPE2],PS3,PAL-AU,A+,A-,A,"“Radnet” Edition, includes cardboard cover?",
Sonic Generations,PS3,PAL-AU,A+,A-,A+,,
Gameboy Camera,GB,N/A,A,M,M,Red,
Gurumin: A Monstrous Adventure,PSP,NTSC-UC,S,S,S,,
Me & My Katamari,PSP,NTSC-UC,S,S,S,,Has “PSP Favourites” Sticker on outside of seal
Innocent Life A Futuristic Harvest Moon,PSP,NTSC-UC,S,S,S,,
Tekken Dark Resurrection,PSP,PAL-AU,A+,A+,A+,,"Platinum Version, Case is covered in stickers (replace)"
Ridge Racer,PSP,PAL-AU,A,A,A,,
Grand Theft Auto Vice City Stories,PSP,PAL-AU,C-,M,A,,"Platinum Version, UMD in replacement case"
Grand Theft Auto Liberty City Stories,PSP,PAL-AU,C-,A+,A+,,UMD in replacement case
LittleBigPlanet,PSP,PAL-AU,C-,M,A,,"Platinum Version, UMD in replacement case"
ModNation Racers,PSP,PAL-AU,A+,A+,A+,,
Bokuha Tomodachiga Sukunai Portable,PSP,NTSC-J,A+,A+,A+,Includes Trading Card(?),
Kirameki School Life SP - The Wonder Years,PSP,NTSC-J,S,S,S,Bonus game for Tomodachiga?,
Ro-Kyu-Bu!,PSP,NTSC-J,S,S,S,,
Final Fantasy Type-0,PSP,NTSC-J,A+,A+,A+,Includes both discs,
Haruhi Suzumiya No Yakusoku,PSP,NTSC-J,A+,A+,A+,,
Toradora Portable!,PSP,NTSC-J,A+,A+,A+,,
Lucky Star Net iDol Meister,PSP,NTSC-J,A+,A+,A+,,
My Little Sister can't be this cute portable!,PSP,NTSC-J,A+,A+,A+,,
Kokoro Connect,PSP,NTSC-J,S,S,S,,
Oreimo Portable Ore no imouto to koi siyo ,PSP,NTSC-J,A+,A+,A+,Bonus game for My Little Sister can't be this cute?,
Lucky Star Portable?,PSP,NTSC-J,A+,A+,A+,,
Haruhi Suzumiya No Yakusoku,PSP,NTSC-J,A+,A+,A+,Alternate cover?,
Dynasty Warriors Vol. 2,PSP,PAL-AU,A+,A+,A+,,
FIFA 09,PSP,PAL-AU,A,B+,A,,"Case needs replacing, artwork is fine"
Syphon Filter The Omega Strain,PS2,NTSC-UC,B+,M,M,,
Tokyo Road Race,PS2,PAL-AU,A,A,A,,
Formule One 2002,PS2,PAL-EU,A-,A+,A,Includes DVD Video,Case is covered in stickers
Final Fantasy XII,PS2,PAL-EU,A+,A+,A+,,Case has OLFC Stickers
Final Fantasy XII,PS2,PAL-EU,B,A+,A+,Has “Game of the year 10/10” sticker,Case has OLFC Stickers
Final Fantasy XI Chains of Promathia,PS2,NTSC-UC,A+,A+,A+,"Has activation code, unchecked",
Final Fantasy XI,PS2,NTSC-UC,A+,A+,A-,"Includes Online Tutorial Manual and PlayOnline Disc, all good condition",Tear on outer box
Dirge of Cerberus Final Fantasy VII,PS2,PAL-EU,A+,A+,A-,,Case has OLFC Stickers
Katamari Damacy,PS2,NTSC-UC,A+,A+,A+,,
We Love Katamari,PS2,PAL-AU,A+,A+,B+,,Artwork has been damaged by a blue pen
Sonic Gems Collection,PS2,PAL-AU,C+,B-,B-,,"Probably needs replacing, Art has stickers on it"
Crash of the Titans,PS2,PAL-AU,A-,A+,A,,
Thomas & Friends A Day at the Races,PS2,PAL-AU,C,A+,A-,,
The Getaway,PS2,PAL-AU,C,A,B,,Platinum Version.
Gauntlet Seven Sorrows,PS2,PAL-AU,A,A-,A-,,
Skip Beat!,PS2,NTSC-J,A+,A+,A+,,
Secret of Mana 4,PS2,NTSC-J,A+,A+,A+,,
Haruhi Suzumiya no Tomadoi,PS2,NTSC-J,A+,A+,A+,,
The Familiar of Zero,PS2,NTSC-J,A+,A+,A+,Includes bonus DVD and carboard cover,
Super Live Stadium,PS1,NTSC-J,B+,B+,B+,,
Metal Slug,PS1,NTSC-J,B-,B+,B,,
Ace Combat,PS1,NTSC-J,A-,B+,B+,,
Final Fantasy VII Preview Disc,PS1,NTSC-UC,A-,N/A,A+,,
Final Fantasy Tactics,PS1,NTSC-UC,A-,A-,A-,,Jewel case has a crack
Formula 1 97,PS1,PAL-AU,C,M,A-,Includes Signosis Demo Disc – C,
Future Racer,PS1,PAL-AU,C,M,B,,
Hi-Octane,PS1,PAL-EU,C-,A,A,,Jewel case needs cleaning
Asteroids,PS1,PAL-EU,A-,M,C,,Jewel case needs replacing
Final Fantasy VIII,PS1,PAL-AU,B+,M,A,"Includes all 4 discs, most are A or B","Missing Manual, Jewel case needs cleaning"
Final Fantasy VII,PS1,PAL-EU,A-,A,A+,"Includes all 3 discs plus Final Fantasy VIII Preview Disc, Most discs are A or A-",Platinum Version
Final Fantasy VI,PS1,PAL-EU,A-,B+,C+,Includes Final Fantasy X Preview Disc,Case has a few cracks
Final Fantasy Anthology,PS1,PAL-EU,A-,A+,A-,Includes both FFIV and FFV,Jewel case needs replacing
Final Fantasy Origins,PS1,PAL-EU,A-,A+,A,"Includes both FFI and FFII, and two art cards",
Final Fantasy IX,PS1,PAL-EU,A-,A+,A+,,"Platinum Version, Jewel case needs replacing"
Dynasty Warriors 6,XBOX360,PAL-AU,A+,A+,A+,,
Dynasty Warriors Gundam,XBOX360,PAL-EU,A+,M,A+,,Case has OLFC Stickers
Elder Scrolls V: Skyrim,XBOX360,PAL-AU,A+,M,A+,,
Call of Duty Black Ops,XBOX360,PAL-AU,B+,A-,A-,,
Beautiful Katamari,XBOX360,PAL-EU,A,B+,A,,
Dead or Alive 4,XBOX360,PAL-AU,B,B+,D-,,Burn this
Phantasy Star Universe,XBOX360,PAL-AU,A+,M,M,,
Fable III,XBOX360,PAL-AU,B+,A,A,,Case has stickers on it
Fable II,XBOX360,PAL-AU,A-,M,A,,
Project Gotham Racing,XBOX,PAL-AU,A-,A-,B+,,"Disc is a classics version, case is a regular version"
Midtown Madness 3,XBOX,PAL-AU,A-,A,A-,,Not for resale Version
Kirby 64,N64,NTSC-J,A+,M,M,,
Mario Tennis 64,N64,NTSC-J,A,M,M,,
Tamagotchi 64: Minna de Tamagotchi World ,N64,NTSC-J,A,M,M,,
Star Fox 64,N64,NTSC-J,A,M,M,,
Paper Mario,N64,NTSC-UC,A,M,M,,
Paper Mario / Mario Story,N64,NTSC-J,A,M,M,,
Pokemon Stadium,N64,NTSC-J,A,M,M,,
Pokemon Stadium Silver / Gold,N64,NTSC-J,A,M,M,,
The Legend of Zelda Ocarina of Time,N64,NTSC-J,A,M,M,,
Super Smash Bros.,N64,NTSC-J,A,M,M,,
Mario Kart 64,N64,NTSC-J,A,M,M,,
Diddy Kong Racing,N64,NTSC-J,A,M,M,,
Yoshi's Story,N64,NTSC-J,A,M,M,,
Hey! Pikachu,N64,NTSC-J,B+,M,M,,
Mario Golf 64,N64,NTSC-J,A,M,M,,
The Legend of Zelda Majora's Mask,N64,NTSC-J,A,M,M,,
Pokemon Snap,N64,NTSC-J,A,M,M,,
Mario Party 3,N64,NTSC-UC,A,M,M,,
Mario Party,N64,NTSC-UC,A,M,M,,
Kirby 64,N64,NTSC-UC,A,M,M,,
Super Mario 64,N64,NTSC-J,A,M,M,,
Banjo Kazooie,N64,NTSC-J,A,M,M,,
Mario Party,N64,NTSC-J,B-,M,M,,
Pilotwings 64,N64,NTSC-J,A,M,M,,
Donkey Kong 64,N64,NTSC-J,A,M,M,,
Mario Party 2,N64,NTSC-J,A,M,M,,
Banjo Tooie,N64,NTSC-UC,A,M,M,,
Mario Party 2,N64,NTSC-UC,A,M,M,,
Pokemon Stadium 2,N64,NTSC-J,A,M,M,,
Super Mario 64 (Rumble support),N64,NTSC-J,A,M,M,,
Mario Party 3,N64,NTSC-J,A,M,M,,
The Legend of Zelda Ocarina of Time,N64,PAL-AU,A+,A,B+,Collector's Edition,
Goof Troop,SNES,PAL-EU,A,M,B+,,
Final Fantasy I-II,NES,NTSC-J,A+,A-,B,"Includes Map, Quick Guide and Manual Book(?)",
Final Fantasy,WSC,NTSC-J,A+,A+,B+,,
Final Fantasy VI,SNES,NTSC-J,A+,A-,A-,,
Final Fantasy V,SNES,NTSC-J,A+,B-,A,,
Ecco the Dolphin,SMD,PAL-EU,B,M,M,,
Kirby Ball,SNES,NTSC-J,A+,M,M,,
32 in 1 Game Cartridge,2600,N/A,B+,M,M,,
2 PAK SPECIAL – Cavern Blaster & City War,2600,N/A,A-,M,M,,
2 PAK SPECIAL – Alien Force & Hoppy,2600,N/A,B,M,M,,
Solaris,2600,N/A,B,M,M,,
E-Reader,GBA,PAL-AU,A-,M,B-,"Includes Hockey Card, Manhole Card, 4 RS Battle Cards & Battle Card Manual and GBA SP Port Cover (No sticky pads)",
Mario Party DS,DS,PAL-AU,A+,A,A,,
New Yoshi's Island,3DS,PAL-AU,A+,N/A,A,,Nintendo Selects Version
Sonic Generations,3DS,PAL-EU,A+,M,M,,
Kirby's Dream Land,GB,PAL-AU,A,M,M,,
Sonic Pinball Party,GBA,PAL-EU,A,M,M,,
Paper Mario The Origami King,Switch,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Star Wars Jedi Starfighter,XBOX,PAL-AU,B+,A,A,,
Phoenix Wright: Ace Attorney Trilogy,Switch,NTSC-J,A+,N/A,A+,,
Sega GT 2002 / Jet Set Radio Future,XBOX,NTSC-UC,A-,A+,A+,,"Artwork in good condition, case has cracked and could be replaced"
Super Princess Peach,DS,PAL-AU,A+,A+,A+,,
Pokken Tournament,Wii U,PAL-AU,A,N/A,A,Missing Mewtwo amiibo Card,
